### GO term enrichment for convergent genes in reproductive tract samples when mapped to different ref transcriptomes (see ms)
# GO.ID	= GO term ID
# GO_desc = GO term description	
# toTbi_GSEA = Gene set enrichment p-value when mapped to Timema bartmani
# toTte_GSEA = Gene set enrichment p-value when mapped to Timema tahoe	
# toTce_GSEA = Gene set enrichment p-value when mapped to Timema cristinae
# toTms_GSEA = Gene set enrichment p-value when mapped to Timema monikensis
# toTps_GSEA = Gene set enrichment p-value when mapped to Timema poppensis
# toTdi_GSEA = Gene set enrichment p-value when mapped to Timema douglasi
# toTcm_GSEA = Gene set enrichment p-value when mapped to Timema californicum
# toTsi_GSEA = Gene set enrichment p-value when mapped to Timema shepardi
# toTpa_GSEA = Gene set enrichment p-value when mapped to Timema podura
# toTge_GSEA = Gene set enrichment p-value when mapped to Timema genevievae
# median_GSEA = Median gene set enrichment p-value across species references
GO.ID	GO_desc	toTsi_GSEA	toTce_GSEA	toTbi_GSEA	toTps_GSEA	toTcm_GSEA	toTte_GSEA	toTdi_GSEA	toTms_GSEA	toTge_GSEA	toTpa_GSEA	median_GSEA
GO:0002181	cytoplasmic translation	5.40E-05	5.60E-05	0.00147	7.10E-05	8.00E-06	0.00027	1.90E-06	8.50E-06	4.60E-05	0.00024	0.000055
GO:0000381	"regulation of alternative mRNA splicing, via spliceosome"	0.0075	0.0015	0.00473	0.00183	0.00221	0.00363	0.0004	0.00745	0.0095	0.00685	0.00418
GO:0051298	centrosome duplication	0.00368	0.0015	0.0162	0.02907	0.00445	0.00757	0.00471	0.00177	0.0114	0.05164	0.00614
GO:0007588	excretion	0.00236	0.0017	0.00728	0.02219	0.00211	0.00689	0.02516	0.00151	0.006	0.02492	0.006445
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.00043	0.0078	0.09782	0.0068	0.00021	0.02054	0.05244	0.02138	0.0083	0.01693	0.012615
GO:0010529	negative regulation of transposition	0.01241	0.0737	0.00747	0.01333	0.01267	0.00619	0.01244	0.1899	0.033	0.03572	0.013
GO:0042761	very long-chain fatty acid biosynthetic process	0.00498	0.0225	0.01536	0.01455	0.00495	0.01443	0.01534	0.20235	0.0043	0.06497	0.014945
GO:0019368	"fatty acid elongation, unsaturated fatty acid"	NA	0.0407	0.01536	0.01455	NA	0.01443	0.01534	0.27457	0.0043	0.03724	0.01535
GO:0042759	long-chain fatty acid biosynthetic process	NA	0.0407	0.01536	0.01455	NA	0.01443	0.01534	0.27457	0.0043	0.03724	0.01535
GO:0042632	cholesterol homeostasis	0.08509	0.1456	0.01253	0.01649	0.07054	0.0145	0.00449	0.3538	0.008	0.01206	0.015495
