### GO term enrichment for convergent genes in leg samples when mapped to different ref transcriptomes (see ms)
# GO.ID	= GO term ID
# GO_desc = GO term description	
# toTbi_GSEA = Gene set enrichment p-value when mapped to Timema bartmani
# toTte_GSEA = Gene set enrichment p-value when mapped to Timema tahoe	
# toTce_GSEA = Gene set enrichment p-value when mapped to Timema cristinae
# toTms_GSEA = Gene set enrichment p-value when mapped to Timema monikensis
# toTps_GSEA = Gene set enrichment p-value when mapped to Timema poppensis
# toTdi_GSEA = Gene set enrichment p-value when mapped to Timema douglasi
# toTcm_GSEA = Gene set enrichment p-value when mapped to Timema californicum
# toTsi_GSEA = Gene set enrichment p-value when mapped to Timema shepardi
# toTpa_GSEA = Gene set enrichment p-value when mapped to Timema podura
# toTge_GSEA = Gene set enrichment p-value when mapped to Timema genevievae
# median_GSEA = Median gene set enrichment p-value across species references
GO.ID	GO_desc	toTpa_GSEA	toTge_GSEA	toTms_GSEA	toTte_GSEA	toTdi_GSEA	toTps_GSEA	toTcm_GSEA	toTsi_GSEA	toTce_GSEA	toTbi_GSEA	median_GSEA
GO:0002181	cytoplasmic translation	0.0033	0.01112	3.70E-05	0.00373	5.10E-06	5.60E-05	0.00024	1.10E-05	7.00E-06	0.003	0.000148
GO:0006122	"mitochondrial electron transport, ubiquinol to cytochrome c"	0.0054	0.15803	0.0016	0.00021	0.00419	0.00493	7.20E-05	7.80E-05	0.00249	0.00302	0.002755
GO:0015986	ATP synthesis coupled proton transport	0.0034	0.00321	0.0012	0.03775	0.05338	0.05618	0.00024	0.00027	0.00014	0.01763	0.003305
GO:0006120	"mitochondrial electron transport, NADH to ubiquinone"	0.0072	0.00157	0.00021	0.0157	0.00226	0.00015	0.00508	0.0099	0.00209	0.04619	0.00367
GO:0022900	electron transport chain	0.0072	0.00147	0.00304	0.07205	0.00086	0.00084	0.00593	0.0009	0.0052	0.00465	0.003845
GO:0007286	spermatid development	0.0345	0.24538	0.02605	0.00135	0.00215	0.00457	0.00324	0.0012	0.00998	0.00022	0.003905
GO:0061640	cytoskeleton-dependent cytokinesis	0.1294	0.07322	0.00452	0.00026	0.00503	0.00662	0.06396	0.04142	0.00263	0.00055	0.005825
GO:0006909	phagocytosis	0.0082	0.0122	0.18935	0.00307	0.0048	0.02612	0.00991	0.00615	0.37924	0.01259	0.011055
GO:0045196	establishment or maintenance of neuroblast polarity	0.5896	0.41274	0.01014	0.00197	0.01125	0.01802	0.01985	0.00876	0.01292	0.01393	0.013425
GO:0007030	Golgi organization	0.0488	0.02004	0.06705	0.00739	0.00276	0.00588	0.00161	0.00025	0.05823	0.03676	0.013715
GO:0006313	"transposition, DNA-mediated"	0.0145	1	0.00965	0.13922	0.01424	0.01418	0.01458	1	0.0104	0.13742	0.01454
GO:0000335	"negative regulation of transposition, DNA-mediated"	0.0145	0.00627	0.01618	0.2162	0.02286	0.02278	0.01458	0.00471	0.01729	0.21386	0.016735
GO:0048388	endosomal lumen acidification	0.0123	0.01177	0.017	0.3173	0.01886	0.02084	0.01752	0.01713	0.01909	0.34425	0.01819
GO:0006839	mitochondrial transport	0.0374	0.10314	0.00617	0.07813	0.02026	0.01025	0.00498	0.00119	0.01908	0.13013	0.01967
GO:0007520	myoblast fusion	0.503	0.61162	0.10849	0.00396	0.02346	0.00681	0.01935	0.01938	0.07245	0.00736	0.02142
GO:0010256	endomembrane system organization	0.0291	0.0159	0.01066	0.00676	0.54661	0.50639	0.88895	0.96208	0.0041	0.00591	0.0225
GO:0000337	"regulation of transposition, DNA-mediated"	0.0145	1	0.01618	0.2162	0.02286	0.02278	0.01458	1	0.01729	0.21386	0.02282
GO:0006413	translational initiation	0.091	0.02276	0.03294	0.16881	0.02678	0.00686	0.00161	0.00948	0.01983	0.10115	0.02477
GO:0006783	heme biosynthetic process	0.0013	0.00064	0.00497	0.03364	0.07363	0.01952	0.13756	0.17125	0.00969	0.03106	0.02529
GO:0018345	protein palmitoylation	NA	0.6458	NA	NA	NA	NA	0.0231	0.02637	NA	NA	0.02637
GO:0032270	positive regulation of cellular protein metabolic process	0.7118	0.3867	0.01929	0.02692	0.01258	0.0122	0.187	0.03139	0.01706	0.12827	0.029155
GO:0045851	pH reduction	0.0273	0.02395	0.01541	0.24321	0.0319	0.0284	0.15012	0.14402	0.02456	0.25474	0.03015
GO:0051452	intracellular pH reduction	0.0273	0.02395	0.01541	0.24321	0.0319	0.0284	0.15012	0.14402	0.02456	0.25474	0.03015
GO:0051453	regulation of intracellular pH	0.0273	0.02395	0.01541	0.24321	0.0319	0.0284	0.15012	0.14402	0.02456	0.25474	0.03015
