### Overlap of Differentially expressed genes in each sex-asex comparison 
# Intersections	= species pairs compared = Tbi = T. bartmani - T. tahoe; Tce = T. cristinae - T. monikensis; Tps = T. poppensis - T. douglasi; Tcm = T. californicum - T. shepardi; Tpa = T. podura - T. genevievae
# Degree = number of sets overlapping	
# Observed.Overlap = observed overlap between sets	
# Expected.Overlap = expected overlap between sets
# FE = fisher exact test
# P.value = p value
# FDR_BH = FDR
# Tissue = Tissue used. WB = whole-body, RT = reproductive tract, LG = Legs
Intersections	Degree	Observed.Overlap	Expected.Overlap	FE	P.value	FDR_BH	Tissue
Tbi	1	146	NA	NA	NA	NA	WB
Tce	1	87	NA	NA	NA	NA	WB
Tcm	1	63	NA	NA	NA	NA	WB
Tpa	1	253	NA	NA	NA	NA	WB
Tps	1	187	NA	NA	NA	NA	WB
Tce & Tbi	2	10	4.255276382	2.350023618	0.008989408	0.040053919	WB
Tce & Tpa	2	13	7.373869347	1.762982145	0.029471702	0.076626426	WB
Tcm & Tbi	2	9	3.081407035	2.92074364	0.00307476	0.029812518	WB
Tcm & Tce	2	6	1.836180905	3.267651888	0.009243212	0.040053919	WB
Tcm & Tpa	2	8	5.339698492	1.498211933	0.160083299	0.24483328	WB
Tpa & Tbi	2	23	12.37453936	1.858655044	0.002214239	0.029812518	WB
Tps & Tbi	2	14	9.14639866	1.530657095	0.069757941	0.139515881	WB
Tps & Tce	2	8	5.450251256	1.467822239	0.175244911	0.253131539	WB
Tps & Tcm	2	5	3.946733668	1.266870385	0.360089409	0.445824982	WB
Tps & Tpa	2	27	15.84958124	1.703515039	0.003439906	0.029812518	WB
Tce & Tpa & Tbi	3	2	0.360664966	5.545312649	0.05069534	0.109839903	WB
Tcm & Tce & Tbi	3	1	0.089809853	11.13463572	0.08601772	0.159747193	WB
Tcm & Tce & Tpa	3	1	0.155629403	6.425521006	0.144439793	0.234714664	WB
Tcm & Tpa & Tbi	3	1	0.261171183	3.828906353	0.230532806	0.315465945	WB
Tps & Tce & Tbi	3	2	0.266578453	7.502481819	0.029344703	0.076626426	WB
Tps & Tce & Tpa	3	3	0.461947594	6.494243156	0.011188257	0.041556385	WB
Tps & Tcm & Tbi	3	2	0.19303957	10.36057013	0.016059173	0.052192311	WB
Tps & Tcm & Tce	3	1	0.115030429	8.693351949	0.108848715	0.188671106	WB
Tps & Tcm & Tpa	3	1	0.334513775	2.989413516	0.285295094	0.370883622	WB
Tps & Tpa & Tbi	3	3	0.775222399	3.869857223	0.04290391	0.101409241	WB
Tcm & Tce & Tpa & Tbi	4	0	0.007612024	0	1	1	WB
Tps & Tce & Tpa & Tbi	4	0	0.022594422	0	1	1	WB
Tps & Tcm & Tce & Tbi	4	1	0.005626279	177.7373669	0.00561108	0.03647202	WB
Tps & Tcm & Tce & Tpa	4	0	0.009749648	0	1	1	WB
Tps & Tcm & Tpa & Tbi	4	0	0.016361478	0	1	1	WB
Tps & Tcm & Tce & Tpa & Tbi	5	0	0.000476867	0	1	1	WB
Tbi	1	123	NA	NA	NA	NA	RT
Tce	1	433	NA	NA	NA	NA	RT
Tcm	1	131	NA	NA	NA	NA	RT
Tpa	1	562	NA	NA	NA	NA	RT
Tps	1	102	NA	NA	NA	NA	RT
Tce & Tbi	2	16	19.33877996	0.827353123	0.834529758	1	RT
Tce & Tpa	2	76	88.36092956	0.860108652	0.954267752	1	RT
Tcm & Tbi	2	10	5.850762527	1.709178924	0.064673849	0.168152008	RT
Tcm & Tce	2	17	20.59658678	0.825379476	0.843476693	1	RT
Tcm & Tpa	2	39	26.73275236	1.458884573	0.005873807	0.030543798	RT
Tpa & Tbi	2	39	25.10021786	1.553771374	0.001689953	0.014646258	RT
Tps & Tbi	2	9	4.555555556	1.975609756	0.036158602	0.117515457	RT
Tps & Tce	2	18	16.03703704	1.122401848	0.333684606	0.542237484	RT
Tps & Tcm	2	12	4.851851852	2.473282443	0.002771245	0.018013094	RT
Tps & Tpa	2	29	20.81481481	1.393238434	0.030546643	0.117515457	RT
Tce & Tpa & Tbi	3	4	3.946403172	1.013581184	0.560316875	0.809346597	RT
Tcm & Tce & Tbi	3	2	0.919891131	2.174170326	0.234549134	0.406551833	RT
Tcm & Tce & Tpa	3	4	4.203079801	0.951683097	0.610417862	0.835308653	RT
Tcm & Tpa & Tbi	3	4	1.193946456	3.35023399	0.031682884	0.117515457	RT
Tps & Tce & Tbi	3	0	0.716251109	0	1	1	RT
Tps & Tce & Tpa	3	5	3.272627021	1.527824579	0.229451484	0.406551833	RT
Tps & Tcm & Tbi	3	1	0.216694908	4.614783094	0.19529234	0.39058468	RT
Tps & Tcm & Tce	3	1	0.762836548	1.310896814	0.536250203	0.809346597	RT
Tps & Tcm & Tpa	3	6	0.990101939	6.059982071	0.000463199	0.006021584	RT
Tps & Tpa & Tbi	3	6	0.929637699	6.454127246	0.000330508	0.006021584	RT
Tcm & Tce & Tpa & Tbi	4	1	0.18771925	5.327104162	0.171425828	0.371422626	RT
Tps & Tce & Tpa & Tbi	4	0	0.14616308	0	1	1	RT
Tps & Tcm & Tce & Tbi	4	0	0.034070042	0	1	1	RT
Tps & Tcm & Tce & Tpa	4	1	0.155669622	6.423860902	0.144369266	0.341236448	RT
Tps & Tcm & Tpa & Tbi	4	1	0.044220239	22.61407943	0.043281147	0.125034425	RT
Tps & Tcm & Tce & Tpa & Tbi	5	0	0.006952565	0	1	1	RT
Tbi	1	522	NA	NA	NA	NA	LG
Tce	1	287	NA	NA	NA	NA	LG
Tcm	1	222	NA	NA	NA	NA	LG
Tpa	1	627	NA	NA	NA	NA	LG
Tps	1	524	NA	NA	NA	NA	LG
Tce & Tbi	2	77	54.73657289	1.406737688	0.000421994	0.002742958	LG
Tce & Tpa	2	78	65.74680307	1.186369471	0.04223287	0.064591449	LG
Tcm & Tbi	2	49	42.33978809	1.157303856	0.136696757	0.18705872	LG
Tcm & Tce	2	29	23.27877238	1.24577016	0.118095881	0.170582939	LG
Tcm & Tpa	2	55	50.85641213	1.081476213	0.269312747	0.333434829	LG
Tpa & Tbi	2	161	119.5812934	1.346364431	1.90E-06	4.95E-05	LG
Tps & Tbi	2	115	99.93715747	1.150723144	0.03716083	0.061767018	LG
Tps & Tce	2	59	54.94629156	1.073775833	0.28358698	0.335148249	LG
Tps & Tcm	2	63	42.5020095	1.482282855	0.000320742	0.002742958	LG
Tps & Tpa	2	136	120.0394593	1.132960785	0.038010473	0.061767018	LG
Tce & Tpa & Tbi	3	25	12.53921491	1.993745237	0.000737074	0.003193988	LG
Tcm & Tce & Tbi	3	7	4.439722025	1.576675288	0.157180736	0.204334957	LG
Tcm & Tce & Tpa	3	12	5.332769558	2.250237868	0.00725204	0.018855303	LG
Tcm & Tpa & Tbi	3	11	9.69932303	1.134099768	0.377888468	0.427178269	LG
Tps & Tce & Tbi	3	19	10.47934388	1.813090611	0.008776744	0.020745031	LG
Tps & Tce & Tpa	3	23	12.58725788	1.827244681	0.003683896	0.010642365	LG
Tps & Tcm & Tbi	3	15	8.105973313	1.850487217	0.01587541	0.03175082	LG
Tps & Tcm & Tce	3	9	4.456732454	2.019416712	0.035038146	0.061767018	LG
Tps & Tcm & Tpa	3	22	9.736485187	2.259542286	0.000278823	0.002742958	LG
Tps & Tpa & Tbi	3	38	22.8938976	1.659830959	0.00128742	0.004781848	LG
Tcm & Tce & Tpa & Tbi	4	0	1.017064563	0	1	1	LG
Tps & Tce & Tpa & Tbi	4	8	2.400638879	3.332446238	0.002998373	0.009744713	LG
Tps & Tcm & Tce & Tbi	4	0	0.849986971	0	1	1	LG
Tps & Tcm & Tce & Tpa	4	6	1.020961362	5.876813973	0.000593449	0.003085933	LG
Tps & Tcm & Tpa & Tbi	4	6	1.856940178	3.231121859	0.011204226	0.024275822	LG
Tps & Tcm & Tce & Tpa & Tbi	5	0	0.194717512	0	1	1	LG
