### Overlap of enriched GO-terms in each sex-asex comparison 
# Intersections	= species pairs compared = Tbi = T. bartmani - T. tahoe; Tce = T. cristinae - T. monikensis; Tps = T. poppensis - T. douglasi; Tcm = T. californicum - T. shepardi; Tpa = T. podura - T. genevievae
# Degree = number of sets overlapping	
# Observed.Overlap = observed overlap between sets	
# Expected.Overlap = expected overlap between sets
# FE = fisher exact test
# P.value = p value
# FDR_BH = FDR
# Tissue = Tissue used. WB = whole-body, RT = reproductive tract, LG = Legs
Intersections	Degree	Observed.Overlap	Expected.Overlap	FE	P.value	FDR_BH	Tissue
Tbi	1	223	NA	NA	NA	NA	WB
Tce	1	87	NA	NA	NA	NA	WB
Tcm	1	82	NA	NA	NA	NA	WB
Tpa	1	92	NA	NA	NA	NA	WB
Tps	1	183	NA	NA	NA	NA	WB
Tbi & Tce	2	7	6.200383509	1.128962425	0.427281097	1	WB
Tbi & Tcm	2	14	5.844039629	2.395603194	0.001618224	0.042073817	WB
Tbi & Tpa	2	2	6.556727389	0.30503022	0.991704725	1	WB
Tbi & Tps	2	19	13.042186	1.456810998	0.058477363	0.304082289	WB
Tce & Tcm	2	3	2.279961649	1.315811606	0.400577623	1	WB
Tce & Tpa	2	7	2.558005753	2.736506747	0.013015826	0.112803822	WB
Tce & Tps	2	1	5.088207095	0.196532881	0.995101262	1	WB
Tcm & Tpa	2	4	2.410993928	1.659066808	0.21994233	0.714812572	WB
Tcm & Tps	2	4	4.7957814	0.834066373	0.716924633	1	WB
Tpa & Tps	2	5	5.38063279	0.929258731	0.633558554	1	WB
Tbi & Tce & Tcm	3	0	0.162490076	0	1	1	WB
Tbi & Tce & Tpa	3	0	0.182305939	0	1	1	WB
Tbi & Tce & Tps	3	0	0.362630292	0	1	1	WB
Tbi & Tcm & Tpa	3	1	0.171828586	5.819753411	0.158209571	0.587635548	WB
Tbi & Tcm & Tps	3	2	0.34178947	5.851555342	0.046069952	0.29945469	WB
Tbi & Tpa & Tps	3	1	0.383471113	2.607758359	0.319519317	0.923055806	WB
Tce & Tcm & Tpa	3	0	0.067036265	0	1	1	WB
Tce & Tcm & Tps	3	0	0.133343874	0	1	1	WB
Tce & Tpa & Tps	3	0	0.149605322	0	1	1	WB
Tcm & Tpa & Tps	3	1	0.141007315	7.091830659	0.131756551	0.570945056	WB
Tbi & Tce & Tcm & Tpa	4	0	0.004777593	0	1	1	WB
Tbi & Tce & Tcm & Tps	4	0	0.009503255	0	1	1	WB
Tbi & Tce & Tpa & Tps	4	0	0.010662188	0	1	1	WB
Tbi & Tcm & Tpa & Tps	4	1	0.010049419	99.50824275	0.010000677	0.112803822	WB
Tce & Tcm & Tpa & Tps	4	0	0.003920625	0	1	1	WB
Tbi & Tce & Tcm & Tpa & Tps	5	0	0.000279418	0	1	1	WB
Tbi	1	107	NA	NA	NA	NA	RT
Tce	1	71	NA	NA	NA	NA	RT
Tcm	1	57	NA	NA	NA	NA	RT
Tpa	1	42	NA	NA	NA	NA	RT
