### Overlap of differentially expressed genes in each sex-asex comparison when mapped to different species transcriptomes
# Intersections	= species pairs compared = Tbi = T. bartmani - T. tahoe; Tce = T. cristinae - T. monikensis; Tps = T. poppensis - T. douglasi; Tcm = T. californicum - T. shepardi; Tpa = T. podura - T. genevievae
# Tissue = Tissue used. WB = whole-body, RT = reproductive tract, LG = Legs
# Degree = number of sets overlapping
# toTbi_Observed.Overlap = observed overlap between sets using T. bartmani reference transcriptome
# toTbi_Expected.Overlap = expected overlap between sets using T. bartmani reference transcriptome
# toTbi_FE = fisher exact test using T. bartmani reference transcriptome
# toTbi_P.value = p value using T. bartmani reference transcriptome
# toTbi_FDR_BH = FDR using T. bartmani reference transcriptome
# toTce_Observed.Overlap = observed overlap between sets using T. cristinae reference transcriptome
# toTce_Expected.Overlap = expected overlap between sets using T. cristinae reference transcriptome
# toTce_FE = fisher exact test using T. cristinae reference transcriptome
# toTce_P.value = p value using T. cristinae reference transcriptome
# toTce_FDR_BH = FDR using T. cristinae reference transcriptome
# toTcm_Observed.Overlap = observed overlap between sets using T. californicum reference transcriptome
# toTcm_Expected.Overlap = expected overlap between sets using T. californicum reference transcriptome
# toTcm_FE = fisher exact test using T. californicum reference transcriptome
# toTcm_P.value = p value using T. californicum reference transcriptome
# toTcm_FDR_BH = FDR using T. californicum reference transcriptome
# toTdi_Observed.Overlap = observed overlap between sets using T. douglasi reference transcriptome
# toTdi_Expected.Overlap = expected overlap between sets using T. douglasi reference transcriptome
# toTdi_FE = fisher exact test using T. douglasi reference transcriptome
# toTdi_P.value = p value using T. douglasi reference transcriptome
# toTdi_FDR_BH = FDR using T. douglasi reference transcriptome
# toTge_Observed.Overlap = observed overlap between sets using T. genevievae reference transcriptome
# toTge_Expected.Overlap = expected overlap between sets using T. genevievae reference transcriptome
# toTge_FE = fisher exact test using T. genevievae reference transcriptome
# toTge_P.value = p value using T. genevievae reference transcriptome
# toTge_FDR_BH = FDR using T. genevievae reference transcriptome
# toTms_Observed.Overlap = observed overlap between sets using T. monikensis reference transcriptome
# toTms_Expected.Overlap = expected overlap between sets using T. monikensis reference transcriptome
# toTms_FE = fisher exact test using T. monikensis reference transcriptome
# toTms_P.value = p value using T. monikensis reference transcriptome
# toTms_FDR_BH = FDR using T. monikensis reference transcriptome
# toTpa_Observed.Overlap = observed overlap between sets using T. podura reference transcriptome
# toTpa_Expected.Overlap = expected overlap between sets using T. podura reference transcriptome
# toTpa_FE = fisher exact test using T. podura reference transcriptome
# toTpa_P.value = p value using T. podura reference transcriptome
# toTpa_FDR_BH = FDR using T. podura reference transcriptome
# toTps_Observed.Overlap = observed overlap between sets using T. poppensis reference transcriptome
# toTps_Expected.Overlap = expected overlap between sets using T. poppensis reference transcriptome
# toTps_FE = fisher exact test using T. poppensis reference transcriptome
# toTps_P.value = p value using T. poppensis reference transcriptome
# toTps_FDR_BH = FDR using T. poppensis reference transcriptome
# toTsi_Observed.Overlap = observed overlap between sets using T. shepardi reference transcriptome
# toTsi_Expected.Overlap = expected overlap between sets using T. shepardi reference transcriptome
# toTsi_FE = fisher exact test using T. shepardi reference transcriptome
# toTsi_P.value = p value using T. shepardi reference transcriptome
# toTsi_FDR_BH = FDR using T. shepardi reference transcriptome
# toTte_Observed.Overlap = observed overlap between sets using T. tahoe reference transcriptome
# toTte_Expected.Overlap = expected overlap between sets using T. tahoe reference transcriptome
# toTte_FE = fisher exact test using T. tahoe reference transcriptome
# toTte_P.value = p value using T. tahoe reference transcriptome
# toTte_FDR_BH = FDR using T. tahoe reference transcriptome
Intersections	Tissue	Degree	toTbi_Observed.Overlap	toTbi_Expected.Overlap	toTbi_FE	toTbi_P.value	toTbi_FDR_BH	toTce_Observed.Overlap	toTce_Expected.Overlap	toTce_FE	toTce_P.value	toTce_FDR_BH	toTcm_Observed.Overlap	toTcm_Expected.Overlap	toTcm_FE	toTcm_P.value	toTcm_FDR_BH	toTdi_Observed.Overlap	toTdi_Expected.Overlap	toTdi_FE	toTdi_P.value	toTdi_FDR_BH	toTge_Observed.Overlap	toTge_Expected.Overlap	toTge_FE	toTge_P.value	toTge_FDR_BH	toTms_Observed.Overlap	toTms_Expected.Overlap	toTms_FE	toTms_P.value	toTms_FDR_BH	toTpa_Observed.Overlap	toTpa_Expected.Overlap	toTpa_FE	toTpa_P.value	toTpa_FDR_BH	toTps_Observed.Overlap	toTps_Expected.Overlap	toTps_FE	toTps_P.value	toTps_FDR_BH	toTsi_Observed.Overlap	toTsi_Expected.Overlap	toTsi_FE	toTsi_P.value	toTsi_FDR_BH	toTte_Observed.Overlap	toTte_Expected.Overlap	toTte_FE	toTte_P.value	toTte_FDR_BH
Tbi	WB	1	279	NA	NA	NA	NA	463	NA	NA	NA	NA	523	NA	NA	NA	NA	435	NA	NA	NA	NA	339	NA	NA	NA	NA	456	NA	NA	NA	NA	317	NA	NA	NA	NA	444	NA	NA	NA	NA	515	NA	NA	NA	NA	298	NA	NA	NA	NA
Tce	WB	1	293	NA	NA	NA	NA	132	NA	NA	NA	NA	222	NA	NA	NA	NA	194	NA	NA	NA	NA	205	NA	NA	NA	NA	117	NA	NA	NA	NA	207	NA	NA	NA	NA	182	NA	NA	NA	NA	228	NA	NA	NA	NA	307	NA	NA	NA	NA
Tcm	WB	1	203	NA	NA	NA	NA	168	NA	NA	NA	NA	62	NA	NA	NA	NA	125	NA	NA	NA	NA	164	NA	NA	NA	NA	163	NA	NA	NA	NA	172	NA	NA	NA	NA	131	NA	NA	NA	NA	69	NA	NA	NA	NA	220	NA	NA	NA	NA
Tpa	WB	1	598	NA	NA	NA	NA	740	NA	NA	NA	NA	769	NA	NA	NA	NA	761	NA	NA	NA	NA	375	NA	NA	NA	NA	726	NA	NA	NA	NA	354	NA	NA	NA	NA	733	NA	NA	NA	NA	750	NA	NA	NA	NA	586	NA	NA	NA	NA
Tps	WB	1	1261	NA	NA	NA	NA	1198	NA	NA	NA	NA	1130	NA	NA	NA	NA	935	NA	NA	NA	NA	1052	NA	NA	NA	NA	1176	NA	NA	NA	NA	1062	NA	NA	NA	NA	949	NA	NA	NA	NA	1101	NA	NA	NA	NA	1259	NA	NA	NA	NA
Tce & Tbi	WB	2	9	8.956612249	1.004844214	0.542622437	0.639305512	12	6.65244367	1.803848419	0.034064461	0.080515999	16	12.60240964	1.26959847	0.193971917	0.265435255	16	9.191809171	1.740680175	0.021743697	0.062815125	15	8.40428105	1.784804662	0.021170016	0.068802552	10	5.851283176	1.709026841	0.067663859	0.146605028	13	7.885951208	1.648501196	0.052580842	0.227850314	12	8.805491991	1.362785863	0.17133924	0.43222668	20	12.74641772	1.569068302	0.030217938	0.056119027	8	9.962539475	0.803008111	0.785394789	0.928193841
Tce & Tpa	WB	2	29	19.19732661	1.510627005	0.016708304	0.062059416	16	10.63241537	1.504832105	0.064494857	0.128989714	28	18.53012048	1.511053316	0.017792628	0.057806851	26	16.0803834	1.616876871	0.009722086	0.050554849	10	9.296771073	1.075642276	0.452941111	0.692733464	14	9.315858741	1.502813685	0.080777283	0.161554565	10	8.806393462	1.135538634	0.386111739	0.576942077	23	14.53699466	1.582170217	0.018482423	0.068649001	30	18.56274425	1.616140351	0.005823161	0.018925274	32	19.59076555	1.633422641	0.004018387	0.014925437
Tcm & Tbi	WB	2	13	6.205434425	2.094937938	0.009384753	0.05083889	17	8.46674649	2.007855086	0.004702441	0.026328897	8	3.519591881	2.27299081	0.023189214	0.060291956	14	5.922557456	2.363843678	0.00231391	0.028264828	13	6.72342484	1.933538384	0.017076067	0.068802552	13	8.151787673	1.594742224	0.064541822	0.146605028	12	6.552577815	1.831340327	0.031236623	0.227244272	14	6.33801896	2.208892098	0.004304569	0.022383761	8	3.857468519	2.073898973	0.037755608	0.061352863	17	7.139279103	2.3811928	0.000800769	0.006940002
Tcm & Tce	WB	2	9	6.516818232	1.381042048	0.205452029	0.31422075	6	2.413845651	2.485660173	0.033943308	0.080515999	6	1.493975904	4.016129032	0.003651931	0.044847526	8	2.641324474	3.028783505	0.004923701	0.03200406	13	4.065787882	3.197412255	0.000208188	0.005412898	7	2.0915771	3.346756856	0.004914226	0.031942467	12	4.278812643	2.804516346	0.001178027	0.030628701	9	2.598016781	3.464180857	0.001154366	0.007503376	7	1.707772471	4.098906687	0.001519857	0.006586047	12	7.354894915	1.631566479	0.065294477	0.16976564
Tcm & Tpa	WB	2	29	13.30053687	2.180363115	5.44E-05	0.001414992	24	13.53216502	1.773552124	0.004095024	0.026328897	6	5.175078693	1.15940266	0.416042173	0.491686204	18	10.36107178	1.737272011	0.014509767	0.053893418	11	7.437416858	1.47900813	0.125230782	0.296000029	24	12.97850406	1.84921158	0.002363877	0.025667517	11	7.317389737	1.503268296	0.115575866	0.333885836	13	10.46344121	1.242421087	0.246293901	0.43222668	7	5.617672601	1.246067633	0.329522929	0.342703846	25	14.03898508	1.780755507	0.003460552	0.014925437
