### Overlap of enriched GO-terms in each sex-asex comparison when mapped to different species transcriptomes
# Intersections	= species pairs compared = Tbi = T. bartmani - T. tahoe; Tce = T. cristinae - T. monikensis; Tps = T. poppensis - T. douglasi; Tcm = T. californicum - T. shepardi; Tpa = T. podura - T. genevievae
# Degree = number of sets overlapping	
# Observed.Overlap = observed overlap between sets	
# Expected.Overlap = expected overlap between sets
# FE = fisher exact test
# FDR_BH = FDR
# map_sp = species used for mapping. Tbi = T. bartmani, Tce = T. cristinae, Tps = T. poppensis, Tcm = T. californicum, Tpa = T. podura, Tte = T. tahoe, Tms = T. monikensis, Tdi = T. douglasi, Tsi = T. shepardi, and Tge = T. genevievae.
# Tissue = Tissue used. WB = whole-body, RT = reproductive tract, LG = Legs
Intersections	degree	Observed.Overlap	Expected.Overlap	FE	FDR_BH	map_sp	Tissue
Tbi	1	125	NA	NA	NA	Tbi	WB
Tbi	1	122	NA	NA	NA	Tte	WB
Tbi	1	145	NA	NA	NA	Tce	WB
Tbi	1	146	NA	NA	NA	Tms	WB
Tbi	1	130	NA	NA	NA	Tcm	WB
Tbi	1	117	NA	NA	NA	Tsi	WB
Tbi	1	149	NA	NA	NA	Tps	WB
Tbi	1	113	NA	NA	NA	Tdi	WB
Tbi	1	145	NA	NA	NA	Tpa	WB
Tbi	1	134	NA	NA	NA	Tge	WB
Tce	1	105	NA	NA	NA	Tbi	WB
Tce	1	101	NA	NA	NA	Tte	WB
Tce	1	117	NA	NA	NA	Tce	WB
Tce	1	136	NA	NA	NA	Tms	WB
Tce	1	109	NA	NA	NA	Tcm	WB
Tce	1	100	NA	NA	NA	Tsi	WB
Tce	1	90	NA	NA	NA	Tps	WB
Tce	1	84	NA	NA	NA	Tdi	WB
Tce	1	113	NA	NA	NA	Tpa	WB
Tce	1	98	NA	NA	NA	Tge	WB
Tcm	1	112	NA	NA	NA	Tbi	WB
Tcm	1	87	NA	NA	NA	Tte	WB
Tcm	1	113	NA	NA	NA	Tce	WB
Tcm	1	158	NA	NA	NA	Tms	WB
Tcm	1	146	NA	NA	NA	Tcm	WB
Tcm	1	147	NA	NA	NA	Tsi	WB
Tcm	1	116	NA	NA	NA	Tps	WB
Tcm	1	134	NA	NA	NA	Tdi	WB
Tcm	1	81	NA	NA	NA	Tpa	WB
Tcm	1	84	NA	NA	NA	Tge	WB
Tpa	1	145	NA	NA	NA	Tbi	WB
Tpa	1	173	NA	NA	NA	Tte	WB
Tpa	1	144	NA	NA	NA	Tce	WB
Tpa	1	149	NA	NA	NA	Tms	WB
Tpa	1	167	NA	NA	NA	Tcm	WB
Tpa	1	149	NA	NA	NA	Tsi	WB
Tpa	1	128	NA	NA	NA	Tps	WB
Tpa	1	136	NA	NA	NA	Tdi	WB
Tpa	1	132	NA	NA	NA	Tpa	WB
Tpa	1	108	NA	NA	NA	Tge	WB
Tps	1	210	NA	NA	NA	Tbi	WB
Tps	1	230	NA	NA	NA	Tte	WB
Tps	1	406	NA	NA	NA	Tce	WB
Tps	1	375	NA	NA	NA	Tms	WB
Tps	1	345	NA	NA	NA	Tcm	WB
