# organism = species of Timema											
# rep = replicate number
# Tissue_code = WB = whole-body, RT = reproductive tissue, LG = legs
# N_ind_in_sample = Number of individuals in sample	
# propagation = sexual or asexual reproduction
# tissue = tissue name
# population_name 
# lat_lon = latitude and longitude of population
# biosample_accession = Biosample accession number
# SRA_accession	= SRA accession number
# N_raw_reads = Number of raw reads
# N_raw_reads_after_sampling = Number of reads after sampling
# N_qualfilt_reads = Number of reads after quality filtering (see main text)					
organism	rep	Tissue_code	N_ind_in_sample	propagation	tissue	population_name	lat_lon	biosample_accession	SRA_accession	N_raw_reads	N_raw_reads_after_sampling	N_qualfilt_reads
Timema bartmani	1	RT	3	sex	reproductive tract	Jenks Lake	34.1700 N 117.0020 W	SAMN07297519	SRR5786903	34058274	34058274	28770498
Timema bartmani	2	RT	3	sex	reproductive tract	Jenks Lake	34.1700 N 117.0020 W	SAMN07297520	SRR5786904	33014426	33014426	28055647
Timema bartmani	3	RT	3	sex	reproductive tract	Jenks Lake	34.1700 N 117.0020 W	SAMN07297521	SRR5786905	24755514	24755514	21290646
Timema bartmani	1	LG	3	sex	leg	Jenks Lake	34.1700 N 117.0020 W	SAMN07297525	SRR5786908	27709960	27709960	23674411
Timema bartmani	2	LG	3	sex	leg	Jenks Lake	34.1700 N 117.0020 W	SAMN07297526	SRR5786910	29990039	29990039	25808151
Timema bartmani	3	LG	3	sex	leg	Jenks Lake	34.1700 N 117.0020 W	SAMN07297527	SRR5786900	28901834	28901834	24838505
Timema bartmani	1	WB	3	sexual	whole body	Jenks Lake	34.1700 N 117.0020 W	SAMN07268471	SRR5748944	64028552	31428734	27421284
Timema bartmani	2	WB	3	sexual	whole body	Jenks Lake	34.1700 N 117.0020 W	SAMN07268472	SRR5748943	30569176	30569176	25156696
Timema bartmani	3	WB	3	sexual	whole body	Jenks Lake	34.1700 N 117.0020 W	SAMN07268473	SRR5748942	32110961	32110961	26356549
Timema californicum	1	RT	3	sex	reproductive tract	Saratoga	37.2229 N 122.0872 W	SAMN07297555	SRR5786833	28443167	28443167	24330355
Timema californicum	2	RT	6	sex	reproductive tract	Hamilton	37.3432 N 121.6365 W	SAMN07297556	SRR5786837	26713987	26713987	23088799
Timema californicum	3	RT	3	sex	reproductive tract	Summit Rd	37.2224 N 122.0879 W	SAMN07297557	SRR5786827	29960641	29960641	25430628
Timema californicum	1	LG	3	sex	leg	Saratoga	37.2229 N 122.0872 W	SAMN07297561	SRR5786846	32707633	32707633	26619049
