### Enriched GO terms for convergently expressed genes in whole body samples
# GO.ID = GO term ID
# Term = GO term description
# GSEA = Gene set enrichment analysis p-value 
GO.ID	Term	GSEA
GO:0071390	cellular response to ecdysone	0.00073
GO:1902600	hydrogen ion transmembrane transport	0.003
GO:0009068	aspartate family amino acid catabolic process	0.00336
GO:1900408	negative regulation of cellular response to oxidative stress	0.00336
GO:0002181	cytoplasmic translation	0.0036
GO:0035207	negative regulation of hemocyte proliferation	0.00376
GO:0035303	regulation of dephosphorylation	0.0045
GO:0006275	regulation of DNA replication	0.00629
GO:0051489	regulation of filopodium assembly	0.00679
GO:0016476	regulation of embryonic cell shape	0.00735
GO:0099531	presynaptic process involved in chemical synaptic transmission	0.0089
GO:0043401	steroid hormone mediated signaling pathway	0.00891
GO:0030833	regulation of actin filament polymerization	0.00919
GO:0007619	courtship behavior	0.01121
GO:0007269	neurotransmitter secretion	0.01141
GO:0099643	signal release from synapse	0.01141
GO:0050769	positive regulation of neurogenesis	0.01181
GO:0045666	positive regulation of neuron differentiation	0.01221
GO:0030518	intracellular steroid hormone receptor signaling pathway	0.01248
GO:0035076	ecdysone receptor-mediated signaling pathway	0.01248
GO:0046693	sperm storage	0.01255
GO:0045597	positive regulation of cell differentiation	0.01467
GO:0072583	clathrin-dependent endocytosis	0.01537
GO:0035099	hemocyte migration	0.01548
GO:0008156	negative regulation of DNA replication	0.01566
GO:0015988	energy coupled proton transmembrane transport; against electrochemical gradient	0.01568
GO:0015991	ATP hydrolysis coupled proton transport	0.01568
GO:0090662	ATP hydrolysis coupled transmembrane transport	0.01568
GO:0099131	ATP hydrolysis coupled ion transmembrane transport	0.01568
GO:0099132	ATP hydrolysis coupled cation transmembrane transport	0.01568
GO:0010720	positive regulation of cell development	0.01597
GO:0007588	excretion	0.01735
GO:0030097	hemopoiesis	0.01763
GO:0006487	protein N-linked glycosylation	0.01923
GO:0036465	synaptic vesicle recycling	0.02022
GO:0048488	synaptic vesicle endocytosis	0.02022
GO:0035162	embryonic hemopoiesis	0.02037
GO:0007618	mating	0.02052
GO:0009100	glycoprotein metabolic process	0.02079
GO:0001101	response to acid chemical	0.02089
GO:0008049	male courtship behavior	0.02114
GO:0022407	regulation of cell-cell adhesion	0.02118
GO:0022409	positive regulation of cell-cell adhesion	0.02187
GO:0008361	regulation of cell size	0.02203
GO:0051272	positive regulation of cellular component movement	0.02235
GO:0031338	regulation of vesicle fusion	0.02321
GO:1901606	alpha-amino acid catabolic process	0.02352
GO:0007617	mating behavior	0.02386
