### Enriched GO terms for convergently expressed genes in reproductive tract samples
# GO.ID = GO term ID
# Term = GO term description
# GSEA = Gene set enrichment analysis p-value 
GO.ID	Term	GSEA
GO:0002181	cytoplasmic translation	4.90E-05
GO:0035209	pupal development	0.00018
GO:0000212	meiotic spindle organization	0.00031
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	0.00045
GO:0006694	steroid biosynthetic process	0.00074
GO:0022008	neurogenesis	0.00143
GO:0019368	fatty acid elongation; unsaturated fatty acid	0.00146
GO:0042761	very long-chain fatty acid biosynthetic process	0.00146
GO:0042759	long-chain fatty acid biosynthetic process	0.00146
GO:0045454	cell redox homeostasis	0.0017
GO:0000915	actomyosin contractile ring assembly	0.00273
GO:0051640	organelle localization	0.00275
GO:0042632	cholesterol homeostasis	0.00282
GO:0072348	sulfur compound transport	0.00386
GO:0007291	sperm individualization	0.00417
GO:0006997	nucleus organization	0.005
GO:0042744	hydrogen peroxide catabolic process	0.00517
GO:0031987	locomotion involved in locomotory behavior	0.00533
GO:0010038	response to metal ion	0.00549
GO:0007584	response to nutrient	0.00574
GO:0051298	centrosome duplication	0.00642
GO:0042811	pheromone biosynthetic process	0.00706
GO:0007040	lysosome organization	0.00724
GO:0045746	negative regulation of Notch signaling pathway	0.00726
GO:0006397	mRNA processing	0.00861
GO:0000041	transition metal ion transport	0.00868
GO:0022414	reproductive process	0.009
GO:0030003	cellular cation homeostasis	0.01032
GO:0098771	inorganic ion homeostasis	0.01062
GO:0055080	cation homeostasis	0.01062
GO:0007295	growth of a germarium-derived egg chamber	0.01105
GO:0032504	multicellular organism reproduction	0.01109
GO:0007267	cell-cell signaling	0.0113
GO:0044703	multi-organism reproductive process	0.01164
GO:0019953	sexual reproduction	0.01164
GO:0050794	regulation of cellular process	0.01199
GO:0070417	cellular response to cold	0.01245
GO:2001267	regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	0.01245
GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	0.01245
GO:0080090	regulation of primary metabolic process	0.01267
GO:0050801	ion homeostasis	0.01279
GO:0051648	vesicle localization	0.01334
GO:0048609	multicellular organismal reproductive process	0.01399
GO:0097479	synaptic vesicle localization	0.01408
GO:0008380	RNA splicing	0.01415
GO:0000398	mRNA splicing; via spliceosome	0.01613
GO:0000375	RNA splicing; via transesterification reactions	0.01613
GO:0000377	RNA splicing; via transesterification reactions with bulged adenosine as nucleophile	0.01613
GO:0048859	formation of anatomical boundary	0.0162
GO:0045833	negative regulation of lipid metabolic process	0.01658
GO:0019216	regulation of lipid metabolic process	0.01774
GO:0031323	regulation of cellular metabolic process	0.01787
GO:0060581	cell fate commitment involved in pattern specification	0.01807
GO:0045165	cell fate commitment	0.01825
GO:0045807	positive regulation of endocytosis	0.01873
GO:0048489	synaptic vesicle transport	0.02043
GO:0097480	establishment of synaptic vesicle localization	0.02043
GO:0099003	vesicle-mediated transport in synapse	0.02043
GO:0006873	cellular ion homeostasis	0.02057
GO:0048878	chemical homeostasis	0.02081
GO:0051656	establishment of organelle localization	0.02147
GO:0007110	meiosis I cytokinesis	0.02168
GO:0007111	meiosis II cytokinesis	0.02168
GO:0045834	positive regulation of lipid metabolic process	0.02172
GO:0019222	regulation of metabolic process	0.02307
GO:0051130	positive regulation of cellular component organization	0.02335
GO:0006006	glucose metabolic process	0.0234
GO:0016050	vesicle organization	0.02341
GO:0051650	establishment of vesicle localization	0.02406
GO:0048137	spermatocyte division	0.0244
GO:0051780	behavioral response to nutrient	0.02496
GO:0098916	anterograde trans-synaptic signaling	0.02517
GO:0099536	synaptic signaling	0.02517
GO:0099537	trans-synaptic signaling	0.02517
GO:0007268	chemical synaptic transmission	0.02517
GO:0045880	positive regulation of smoothened signaling pathway	0.0255
GO:0050766	positive regulation of phagocytosis	0.026
GO:0030431	sleep	0.02749
GO:0010160	formation of animal organ boundary	0.02755
GO:0055082	cellular chemical homeostasis	0.0279
GO:0016197	endosomal transport	0.02901
GO:0099504	synaptic vesicle cycle	0.02941
GO:0048645	animal organ formation	0.02952
GO:0046916	cellular transition metal ion homeostasis	0.02954
GO:0006413	translational initiation	0.03024
GO:0006898	receptor-mediated endocytosis	0.03043
GO:0006895	Golgi to endosome transport	0.03064
GO:0042592	homeostatic process	0.03187
GO:0007588	excretion	0.03255
GO:0006642	triglyceride mobilization	0.03287
GO:0050994	regulation of lipid catabolic process	0.03287
GO:0050995	negative regulation of lipid catabolic process	0.03287
GO:0031936	negative regulation of chromatin silencing	0.03304
GO:0016199	axon midline choice point recognition	0.03433
GO:0050878	regulation of body fluid levels	0.03466
GO:0050817	coagulation	0.03466
GO:0007599	hemostasis	0.03466
GO:0042381	hemolymph coagulation	0.03466
GO:0060582	cell fate determination involved in pattern specification	0.03479
GO:0016360	sensory organ precursor cell fate determination	0.03479
GO:0008052	sensory organ boundary specification	0.03479
GO:0060255	regulation of macromolecule metabolic process	0.03608
GO:0045498	sex comb development	0.03681
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.03724
GO:0044702	single organism reproductive process	0.03742
GO:0009306	protein secretion	0.03837
GO:1902582	single-organism intracellular transport	0.03916
GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	0.04031
GO:0070142	synaptic vesicle budding	0.04031
GO:0008037	cell recognition	0.04084
GO:0008038	neuron recognition	0.04084
GO:0006414	translational elongation	0.04189
