### Enriched GO terms for convergently expressed genes in leg samples
# GO.ID = GO term ID
# Term = GO term description
# GSEA = Gene set enrichment analysis p-value 
GO.ID	Term	GSEA
GO:0002181	cytoplasmic translation	4.00E-05
GO:0051298	centrosome duplication	0.0018
GO:0009620	response to fungus	0.0024
GO:0022900	electron transport chain	0.0029
GO:0030431	sleep	0.0031
GO:0007017	microtubule-based process	0.0057
GO:0015986	ATP synthesis coupled proton transport	0.0065
GO:0034641	cellular nitrogen compound metabolic process	0.0066
GO:0006417	regulation of translation	0.007
GO:0042993	positive regulation of transcription factor import into nucleus	0.0072
GO:0043065	positive regulation of apoptotic process	0.0088
GO:0007067	mitotic nuclear division	0.009
GO:0035303	regulation of dephosphorylation	0.0092
GO:0007539	primary sex determination; soma	0.0097
GO:0000070	mitotic sister chromatid segregation	0.0102
GO:0006974	cellular response to DNA damage stimulus	0.0104
GO:0035277	spiracle morphogenesis; open tracheal system	0.0105
GO:0042992	negative regulation of transcription factor import into nucleus	0.0106
GO:0042994	cytoplasmic sequestering of transcription factor	0.0106
GO:0007099	centriole replication	0.0107
GO:0098534	centriole assembly	0.0107
GO:0016071	mRNA metabolic process	0.0115
GO:0007030	Golgi organization	0.0117
GO:0007520	myoblast fusion	0.0119
GO:0000768	syncytium formation by plasma membrane fusion	0.0119
GO:0006949	syncytium formation	0.0119
GO:0046686	response to cadmium ion	0.0122
GO:0072089	stem cell proliferation	0.0126
GO:0045333	cellular respiration	0.0128
GO:0071478	cellular response to radiation	0.0137
GO:0012502	induction of programmed cell death	0.0141
GO:0035081	induction of programmed cell death by hormones	0.0141
GO:0035072	ecdysone-mediated induction of salivary gland cell autophagic cell death	0.0141
GO:0035078	induction of programmed cell death by ecdysone	0.0141
GO:1901564	organonitrogen compound metabolic process	0.0142
GO:0006119	oxidative phosphorylation	0.0145
GO:0051531	NFAT protein import into nucleus	0.0146
GO:0051532	regulation of NFAT protein import into nucleus	0.0146
GO:0051533	positive regulation of NFAT protein import into nucleus	0.0146
GO:0008283	cell proliferation	0.0147
GO:0002920	regulation of humoral immune response	0.015
GO:0002759	regulation of antimicrobial humoral response	0.015
GO:0007306	eggshell chorion assembly	0.0151
GO:0006783	heme biosynthetic process	0.0152
GO:0042168	heme metabolic process	0.0152
GO:0045807	positive regulation of endocytosis	0.0158
GO:0042773	ATP synthesis coupled electron transport	0.017
GO:0045861	negative regulation of proteolysis	0.0173
GO:1901879	regulation of protein depolymerization	0.0188
GO:0022904	respiratory electron transport chain	0.0195
GO:0000226	microtubule cytoskeleton organization	0.0197
GO:0018904	ether metabolic process	0.02
GO:0006662	glycerol ether metabolic process	0.02
GO:0008380	RNA splicing	0.0201
GO:0016334	establishment or maintenance of polarity of follicular epithelium	0.0203
GO:0010604	positive regulation of macromolecule metabolic process	0.0207
GO:0071822	protein complex subunit organization	0.021
GO:0022411	cellular component disassembly	0.0214
GO:0002784	regulation of antimicrobial peptide production	0.0215
GO:0002700	regulation of production of molecular mediator of immune response	0.0215
GO:0070613	regulation of protein processing	0.0219
GO:1903317	regulation of protein maturation	0.0219
GO:0000398	mRNA splicing; via spliceosome	0.0222
GO:0000375	RNA splicing; via transesterification reactions	0.0222
GO:0000377	RNA splicing; via transesterification reactions with bulged adenosine as nucleophile	0.0222
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	0.023
GO:0002440	production of molecular mediator of immune response	0.023
GO:0002775	antimicrobial peptide production	0.023
GO:0031036	myosin II filament assembly	0.0231
GO:0007386	compartment pattern specification	0.0236
GO:0060288	formation of a compartment boundary	0.0236
GO:0031324	negative regulation of cellular metabolic process	0.0237
GO:0016333	morphogenesis of follicular epithelium	0.0249
GO:0051220	cytoplasmic sequestering of protein	0.0253
GO:0050832	defense response to fungus	0.026
GO:1901135	carbohydrate derivative metabolic process	0.0264
GO:0031034	myosin filament assembly	0.0267
GO:0018992	germ-line sex determination	0.0272
GO:0007541	sex determination; primary response to X:A ratio	0.0272
GO:0007542	primary sex determination; germ-line	0.0272
GO:0019099	female germ-line sex determination	0.0272
GO:1904746	negative regulation of apoptotic process involved in development	0.0272
GO:0045849	negative regulation of nurse cell apoptotic process	0.0272
GO:1905880	negative regulation of oogenesis	0.0272
GO:0022617	extracellular matrix disassembly	0.0272
GO:2001020	regulation of response to DNA damage stimulus	0.0276
GO:0009144	purine nucleoside triphosphate metabolic process	0.0285
GO:0009205	purine ribonucleoside triphosphate metabolic process	0.0285
GO:0009893	positive regulation of metabolic process	0.0285
GO:0035149	lumen formation; open tracheal system	0.0297
GO:0032006	regulation of TOR signaling	0.0297
GO:0044260	cellular macromolecule metabolic process	0.0299
GO:0051301	cell division	0.0304
GO:0071214	cellular response to abiotic stimulus	0.0307
GO:0043170	macromolecule metabolic process	0.031
GO:0007405	neuroblast proliferation	0.0316
GO:0061351	neural precursor cell proliferation	0.0316
GO:0014902	myotube differentiation	0.0317
