### ReviGO output for reproductive-tract samples
# Group_N = functional GO term group	
# N_GOs	= Number of GO terms in group
# GO_Terms = GO terms IDs	
# GO_Desc = GO terms descriptions
# pval = enrichment p-value
Group_N	N_GOs	GO_Terms	GO_Desc	pval
Group_1	3	GO:0002181, GO:0006413, GO:0006414	cytoplasmic translation, translational initiation, translational elongation	0.00004900044227932357944298111602
Group_2	1	GO:0035209	pupal development	0.0001800113960418010858503722306
Group_3	3	GO:0000212, GO:0007135, GO:0051298	meiotic spindle organization, meiosis II, centrosome duplication	0.0003100273441998191004701179048
Group_4	6	GO:0006919, GO:2001267, GO:2001269, GO:0043281, GO:0043280, GO:0006915	activation of cysteine-type endopeptidase activity involved in apoptotic process, regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway, positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway, regulation of cysteine-type endopeptidase activity involved in apoptotic process, positive regulation of cysteine-type endopeptidase activity involved in apoptotic process, apoptotic process	0.0004499870338721505674721917169
Group_5	5	GO:0006694, GO:0019216, GO:0042759, GO:0042761, GO:0019368	steroid biosynthetic process, regulation of lipid metabolic process, long-chain fatty acid biosynthetic process, very long-chain fatty acid biosynthetic process, fatty acid elongation; unsaturated fatty acid	0.0007399459543127240414214700672
Group_6	3	GO:0022008, GO:0048666, GO:0048699	neurogenesis, neuron development, generation of neurons	0.001429881344481373710169471495
Group_7	11	GO:0045454, GO:0055082, GO:0055080, GO:0055076, GO:0006873, GO:0048878, GO:0050801, GO:0042632, GO:0046916, GO:0030003, GO:0098771	cell redox homeostasis, cellular chemical homeostasis, cation homeostasis, transition metal ion homeostasis, cellular ion homeostasis, chemical homeostasis, ion homeostasis, cholesterol homeostasis, cellular transition metal ion homeostasis, cellular cation homeostasis, inorganic ion homeostasis	0.001699808513203496643512814191
Group_8	3	GO:0000915, GO:0007110, GO:0007111	actomyosin contractile ring assembly, meiosis I cytokinesis, meiosis II cytokinesis	0.002730234812940070838133603502
Group_9	14	GO:0051640, GO:0070142, GO:1902582, GO:0036465, GO:1902580, GO:0016185, GO:0097479, GO:0048488, GO:0097480, GO:0048489, GO:0051656, GO:0099504, GO:0051650, GO:0051648	organelle localization, synaptic vesicle budding, single-organism intracellular transport, synaptic vesicle recycling, single-organism cellular localization, synaptic vesicle budding from presynaptic endocytic zone membrane, synaptic vesicle localization, synaptic vesicle endocytosis, establishment of synaptic vesicle localization, synaptic vesicle transport, establishment of organelle localization, synaptic vesicle cycle, establishment of vesicle localization, vesicle localization	0.002749792986895066742558602669
Group_10	1	GO:0072348	sulfur compound transport	0.003860112837453199672796719324
Group_11	15	GO:0007291, GO:0044703, GO:0044702, GO:0032504, GO:0008052, GO:0010160, GO:0048859, GO:0048609, GO:0016360, GO:0019953, GO:0048645, GO:0007276, GO:0022414, GO:0048137, GO:0060582	sperm individualization, multi-organism reproductive process, single organism reproductive process, multicellular organism reproduction, sensory organ boundary specification, formation of animal organ boundary, formation of anatomical boundary, multicellular organismal reproductive process, sensory organ precursor cell fate determination, sexual reproduction, animal organ formation, gamete generation, reproductive process, spermatocyte division, cell fate determination involved in pattern specification	0.004169653822449890697712211348
Group_12	1	GO:0006997	nucleus organization	0.005000345349769784988198131227
Group_13	1	GO:0042744	hydrogen peroxide catabolic process	0.005170112579686550031013927109
Group_14	1	GO:0031987	locomotion involved in locomotory behavior	0.005329666080102769166786349245
Group_15	1	GO:0010038	response to metal ion	0.005490349610252035911484336255
Group_16	2	GO:0007584, GO:0051780	response to nutrient, behavioral response to nutrient	0.005739842822249422991076558350
Group_17	1	GO:0042811	pheromone biosynthetic process	0.007059923578936671980682254903
Group_18	1	GO:0007040	lysosome organization	0.007239357102423039925417154995
Group_19	2	GO:0045746, GO:0090101	negative regulation of Notch signaling pathway, negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	0.007259387846070240129314303823
Group_20	7	GO:0006397, GO:0043484, GO:0008380, GO:0000377, GO:0000375, GO:0000398, GO:0050684	mRNA processing, regulation of RNA splicing, RNA splicing, RNA splicing; via transesterification reactions with bulged adenosine as nucleophile, RNA splicing; via transesterification reactions, mRNA splicing; via spliceosome, regulation of mRNA processing	0.008609937521846006490412447356
Group_21	1	GO:0000041	transition metal ion transport	0.008679605772923775993660917795
