### GO term enrichment for convergent genes in whole body samples when mapped to different ref transcriptomes (see ms)
# GO.ID	= GO term ID
# GO_desc = GO term description	
# toTbi_GSEA = Gene set enrichment p-value when mapped to Timema bartmani
# toTte_GSEA = Gene set enrichment p-value when mapped to Timema tahoe	
# toTce_GSEA = Gene set enrichment p-value when mapped to Timema cristinae
# toTms_GSEA = Gene set enrichment p-value when mapped to Timema monikensis
# toTps_GSEA = Gene set enrichment p-value when mapped to Timema poppensis
# toTdi_GSEA = Gene set enrichment p-value when mapped to Timema douglasi
# toTcm_GSEA = Gene set enrichment p-value when mapped to Timema californicum
# toTsi_GSEA = Gene set enrichment p-value when mapped to Timema shepardi
# toTpa_GSEA = Gene set enrichment p-value when mapped to Timema podura
# toTge_GSEA = Gene set enrichment p-value when mapped to Timema genevievae
# median_GSEA = Median gene set enrichment p-value across species references
GO.ID	GO_desc	toTbi_GSEA	toTsi_GSEA	toTce_GSEA	toTms_GSEA	toTps_GSEA	toTcm_GSEA	toTte_GSEA	toTdi_GSEA	toTge_GSEA	toTpa_GSEA	median_GSEA
GO:0002181	cytoplasmic translation	4.50E-08	2.50E-09	3.90E-10	2.30E-10	1.90E-11	3.10E-09	1.10E-08	1.20E-12	3.00E-09	1.00E-08	2.75E-09
GO:0032543	mitochondrial translation	1.00E-05	0.00023	0.0052	0.00614	1.80E-05	2.60E-05	0.00031	3.30E-06	0.00835	0.00929	0.00027
GO:0042254	ribosome biogenesis	0.0033	0.00034	0.0392	0.00059	0.00461	0.00052	0.12603	0.00072	0.00021	0.00055	0.000655
GO:0006422	aspartyl-tRNA aminoacylation	0.0023	NA	NA	NA	NA	NA	0.00237	NA	NA	NA	0.002335
GO:0007286	spermatid development	0.0025	0.00159	0.0039	0.00246	0.00381	0.00068	0.0058	0.02768	0.04707	0.06998	0.003855
GO:0044260	cellular macromolecule metabolic process	0.0044	0.01433	0.1187	0.01055	0.06401	0.03768	0.00651	0.02765	0.00356	0.00595	0.01244
GO:0006623	protein targeting to vacuole	0.0132	NA	NA	NA	NA	NA	0.01197	NA	NA	NA	0.012585
GO:0072666	establishment of protein localization to vacuole	0.0132	NA	NA	NA	NA	NA	0.01197	NA	NA	NA	0.012585
GO:0000398	"mRNA splicing, via spliceosome"	0.0029	0.01914	0.001	0.01352	0.00405	0.01388	0.00403	0.08222	0.08841	0.01667	0.0137
GO:0051298	centrosome duplication	0.0173	0.0251	0.0124	0.09621	0.00503	0.01618	0.00761	0.00108	0.02868	0.04053	0.01674
GO:0030154	cell differentiation	0.0574	0.01548	0.0751	0.0597	0.01868	0.1031	0.01417	0.01451	0.00625	0.00323	0.01708
GO:0006605	protein targeting	0.0176	0.02398	0.0144	0.01745	0.16924	0.01361	0.01684	0.39239	0.0146	0.04828	0.017525
GO:0006364	rRNA processing	0.0185	0.04011	0.0014	0.01323	0.1263	0.0675	0.00575	0.01591	0.02002	0.04634	0.01926
GO:0031338	regulation of vesicle fusion	0.0164	0.00509	0.0464	0.05489	0.00601	0.00318	0.02401	0.00296	0.27656	0.27581	0.020205
GO:0044267	cellular protein metabolic process	0.0403	0.10488	0.0485	0.02975	0.00124	0.01445	0.0232	0.00208	0.02306	0.01698	0.02313
GO:0010558	negative regulation of macromolecule biosynthetic process	0.0244	0.01688	0.0235	0.01483	0.02569	0.01363	0.01321	0.02776	0.30243	0.31436	0.02395
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	0.0244	0.01688	0.0235	0.01483	0.02569	0.01363	0.01321	0.02776	0.30243	0.31436	0.02395
GO:0090070	positive regulation of ribosome biogenesis	0.0056	0.01475	0.1065	0.0559	0.62362	0.03428	0.00478	0.65779	0.01147	0.01481	0.024545
GO:0048523	negative regulation of cellular process	0.0241	0.00228	0.0081	0.00458	0.00054	0.02988	0.02508	0.04549	0.08613	0.06322	0.02459
GO:0035493	SNARE complex assembly	0.0239	0.01385	0.0301	0.1027	0.02558	0.01697	0.03137	0.01284	NA	NA	0.02474
GO:0035542	regulation of SNARE complex assembly	0.0239	0.01385	0.0301	0.1027	0.02558	0.01697	0.03137	0.01284	NA	NA	0.02474
GO:0006996	organelle organization	0.0189	0.05316	0.003	0.01063	0.06464	0.02805	0.02551	0.00033	0.16135	0.12817	0.02678
GO:0022008	neurogenesis	0.0442	0.01046	0.0864	0.02689	0.01404	0.00228	0.01208	0.04417	0.04011	0.02898	0.027935
