### Overall table containing GO terms and expression data
#OG_name = Ortholog ID
#iso_names = transcript IDs
#Topblasteval = e-value of top blast hit
#TopblastACC = accession number of top blast hit
#GO_ID = annotated GO-term IDs
#GO_desc = annotated GO-term descriptions
#best_hits_desc	= blast hit descriptions
#Drosophila_gene_names = Drosophila ortholog(s)
#WB_convergent = convergent expression in whole body samples. 1 = YES, 0 = NO 
#RT_convergent = convergent expression in reproductive tract samples. 1 = YES, 0 = NO 
#LG_convergent = convergent expression in leg samples. 1 = YES, 0 = NO 
#exp_in_WB = expressed in whole body samples
#exp_in_RT = expressed in reproductive tract samples	
#exp_in_LG = expressed in leg samples samples
#WB_overall_eff_FDR	= FDR for the effect of reproductive mode from EdgeR in whole-body samples (see ms) 
#WB_rep_mode_by_sppair_FDR	= FDR for the species-pair by reproductive mode interaction from EdgeR in whole-body samples (see ms) 
#WB_Tbi-Tte_logFC = log2 fold change between sex-asex pair Timema bartmani-Timema tahoe	in whole-body samples
#WB_Tce-Tms_logFC = log2 fold change between sex-asex pair Timema cristinae-Timema monikensis in whole-body samples
#WB_Tcm-Tsi_logFC = log2 fold change between sex-asex pair Timema poppensis-Timema douglasi	in whole-body samples
#WB_Tpa-Tge_logFC = log2 fold change between sex-asex pair Timema californicum-Timema shepardi in whole-body samples	
#WB_Tps-Tdi_logFC = log2 fold change between sex-asex pair Timema podura-Timema genevievae in whole-body samples
#RT_overall_eff_FDR	= FDR for the effect of reproductive mode from EdgeR in reproductive tract samples (see ms) 
#RT_rep_mode_by_sppair_FDR	= FDR for the species-pair by reproductive mode interaction from EdgeR in reproductive tract samples (see ms) 
#RT_Tbi-Tte_logFC = log2 fold change between sex-asex pair Timema bartmani-Timema tahoe	in reproductive tract samples
#RT_Tce-Tms_logFC = log2 fold change between sex-asex pair Timema cristinae-Timema monikensis in reproductive tract samples
#RT_Tcm-Tsi_logFC = log2 fold change between sex-asex pair Timema poppensis-Timema douglasi	in reproductive tract samples
#RT_Tpa-Tge_logFC = log2 fold change between sex-asex pair Timema californicum-Timema shepardi in reproductive tract samples	
#RT_Tps-Tdi_logFC = log2 fold change between sex-asex pair Timema podura-Timema genevievae in reproductive tract samples
#LG_overall_eff_FDR	= FDR for the effect of reproductive mode from EdgeR in leg samples (see ms) 
#LG_rep_mode_by_sppair_FDR	= FDR for the species-pair by reproductive mode interaction from EdgeR in leg samples (see ms) 
#LG_Tbi-Tte_logFC = log2 fold change between sex-asex pair Timema bartmani-Timema tahoe	in leg samples
#LG_Tce-Tms_logFC = log2 fold change between sex-asex pair Timema cristinae-Timema monikensis in leg samples
#LG_Tcm-Tsi_logFC = log2 fold change between sex-asex pair Timema poppensis-Timema douglasi	in leg samples
#LG_Tpa-Tge_logFC = log2 fold change between sex-asex pair Timema californicum-Timema shepardi in leg samples	
#LG_Tps-Tdi_logFC = log2 fold change between sex-asex pair Timema podura-Timema genevievae in leg samples
OG_name	iso_names	Topblasteval	TopblastACC	GO_ID	GO_desc	best_hits_desc	Drosophila_gene_names	WB_convergent	RT_convergent	LG_convergent	exp_in_WB	exp_in_RT	exp_in_LG	WB_overall_eff_FDR	WB_rep_mode_by_sppair_FDR	WB_Tbi-Tte_logFC	WB_Tce-Tms_logFC	WB_Tcm-Tsi_logFC	WB_Tpa-Tge_logFC	WB_Tps-Tdi_logFC	RT_overall_eff_FDR	RT_rep_mode_by_sppair_FDR	RT_Tbi-Tte_logFC	RT_Tce-Tms_logFC	RT_Tcm-Tsi_logFC	RT_Tpa-Tge_logFC	RT_Tps-Tdi_logFC	LG_overall_eff_FDR	LG_rep_mode_by_sppair_FDR	LG_Tbi-Tte_logFC	LG_Tce-Tms_logFC	LG_Tcm-Tsi_logFC	LG_Tpa-Tge_logFC	LG_Tps-Tdi_logFC
OG-1	Tbi_TRINITY_DN69434_c0_g1_i2;Tte_TRINITY_DN25746_c0_g1_i4;Tce_TRINITY_DN107332_c0_g1_i1;Tms_TRINITY_DN31199_c0_g1_i7;Tcm_TRINITY_DN107456_c2_g1_i7;Tsi_TRINITY_DN30080_c0_g2_i2;Tpa_TRINITY_DN143416_c0_g1_i1;Tge_TRINITY_DN47803_c0_g1_i1;Tps_TRINITY_DN93867_c0_g1_i5;Tdi_TRINITY_DN28345_c0_g1_i1	0.00E+00	CAD31650.1;AAN09079.1;NP_001027034.1	GO:0007415;GO:0008045;GO:0045199;GO:0072347;GO:2001262	defasciculation of motor neuron axon;motor neuron axon guidance;maintenance of epithelial cell apical/basal polarity;response to anesthetic;positive regulation of semaphorin-plexin signaling pathway	"terribly reduced optic lobes, E;perlecan;terribly reduced optic lobes, U;terribly reduced optic lobes, T;terribly reduced optic lobes, H;terribly reduced optic lobes, A;terribly reduced optic lobes, R;terribly reduced optic lobes, K;terribly reduced optic lobes, F;terribly reduced optic lobes, Q;terribly reduced optic lobes, O;terribly reduced optic lobes, N;terribly reduced optic lobes, W;terribly reduced optic lobes, G;terribly reduced optic lobes, M;terribly reduced optic lobes, P;terribly reduced optic lobes, Y;terribly reduced optic lobes, Z;terribly reduced optic lobes, S;terribly reduced optic lobes, L;terribly reduced optic lobes, X"	trol	0	0	0	1	1	1	0.996800131	0.052218568	2.882299741	-0.358660694	0.889353265	-0.990146936	-2.087305465	0.646296017	0.003016872	2.854250006	-3.960335315	0.312248826	-2.385228479	0.647853527	0.327287104	0.019129965	-0.998189692	-2.476174704	-0.93806416	1.599558365	0.149582197
OG-10	Tbi_TRINITY_DN69809_c0_g1_i1;Tte_TRINITY_DN6841_c0_g2_i1;Tce_TRINITY_DN107141_c0_g3_i1;Tms_TRINITY_DN19107_c0_g2_i1;Tcm_TRINITY_DN107117_c4_g2_i1;Tsi_TRINITY_DN31847_c0_g1_i1;Tpa_TRINITY_DN143396_c0_g1_i1;Tge_TRINITY_DN48054_c0_g1_i3;Tps_TRINITY_DN95086_c0_g1_i2;Tdi_TRINITY_DN31295_c0_g1_i2	0.00E+00	Q9VUV9.4;NP_648818.3;AAV37006.1;AAF49564.4	GO:0000381;GO:0000398;GO:0006289;GO:0007067;GO:0007283;GO:0007294;GO:0007419;GO:0008298;GO:0009949;GO:0009951;GO:0016321;GO:0022008;GO:0030717;GO:0034332;GO:0051607;GO:0051642;GO:0097681	"regulation of alternative mRNA splicing, via spliceosome;mRNA splicing, via spliceosome;nucleotide-excision repair;mitotic nuclear division;spermatogenesis;germarium-derived oocyte fate determination;ventral cord development;intracellular mRNA localization;polarity specification of anterior/posterior axis;polarity specification of dorsal/ventral axis;female meiosis chromosome segregation;neurogenesis;karyosome formation;adherens junction organization;defense response to virus;centrosome localization;double-strand break repair via alternative nonhomologous end joining"	lethal (3) 72Ab;Putative U5 small nuclear ribonucleoprotein 200 kDa helicase Protein lethal (3) 72Ab;LD03265p;obelus;DNA polymerase theta Mutagen-sensitive protein 308;Mus308;mutagen-sensitive 308;FI03732p;mutagen-sensitive 301;RE48845p;AF145638_1l.2.35Df;Mtr4 helicase;twister;LD23303p;secretory 63;RE14391p;unknown;CG6227;LD41277p	l(3)72Ab;CG6227;mus308;mus301;tst;Mtr4;obe;Sec63	0	0	0	1	1	1	0.629005214	0.33313275	0.178043203	-0.180334006	0.071260777	0.432259263	-0.039576391	0.355288106	0.371349088	0.057345122	-0.423940574	-0.220900583	0.043749744	-0.022130952	0.459330748	0.048981655	0.195726933	-0.108346102	0.026120304	0.397392672	-0.171818294
OG-100	Tbi_TRINITY_DN68723_c0_g1_i1;Tte_TRINITY_DN38771_c0_g1_i1;Tce_TRINITY_DN93938_c0_g1_i1;Tms_TRINITY_DN30876_c0_g1_i1;Tcm_TRINITY_DN104844_c0_g1_i1;Tsi_TRINITY_DN20917_c0_g1_i1;Tpa_TRINITY_DN137095_c0_g1_i1;Tge_TRINITY_DN12762_c0_g1_i1;Tps_TRINITY_DN94855_c0_g2_i3;Tdi_TRINITY_DN28550_c0_g1_i1	0.00E+00	NP_477310.2;AAL39336.1;AAF58910.2	GO:0000209;GO:0006914;GO:0006959;GO:0007346;GO:0008283;GO:0008340;GO:0010906;GO:0016319;GO:0016322;GO:0016925;GO:0019915;GO:0030707;GO:0031987;GO:0032447;GO:0034126;GO:0034227;GO:0035096;GO:0040008;GO:0043067;GO:0045116;GO:0045879;GO:0046578;GO:0051092	protein polyubiquitination;autophagy;humoral immune response;regulation of mitotic cell cycle;cell proliferation;determination of adult lifespan;regulation of glucose metabolic process;mushroom body development;neuron remodeling;protein sumoylation;lipid storage;ovarian follicle cell development;locomotion involved in locomotory behavior;protein urmylation;positive regulation of MyD88-dependent toll-like receptor signaling pathway;tRNA thio-modification;larval midgut cell programmed cell death;regulation of growth;regulation of programmed cell death;protein neddylation;negative regulation of smoothened signaling pathway;regulation of Ras protein signal transduction;positive regulation of NF-kappaB transcription factor activity	ubiquitin activating enzyme 1;GH24511p;ubiquitin activating enzyme 2;LD22577p;Nedd8-activating enzyme E1 catalytic subunit Ubiquitin-activating enzyme 3 homolo;ubiquitin activating enzyme 3;CG12276;activator of SUMO 1;LD33652p;CG12276-PA;Uba4 ortholo;Adenylyltransferase and sulfurtransferase MOCS3 Molybdenum cofactor synthesis protein 3 Includes: RecNameMolybdopterin-synthase adenylyltransferase Adenylyltransferase MOCS3 Sulfur carrier protein MOCS2A adenylyltransferase Includes: RecNameMolybdopterin-synthase sulfurtransferase Sulfur carrier protein MOCS2A sulfurtransferase Sulfurtransferase MOCS3;FI08414p;beta-Amyloid precursor protein binding protein 1;Nedd8-activating enzyme E1 regulatory subunit Beta-amyloid precursor binding protein 1 Short=dAPP-BP1;FI06139p	Aos1;Uba1;Uba4;APP-BP1;Uba2;Uba3	0	1	0	1	1	1	0.976705147	0.903785257	-0.073323281	0.055828631	0.154983763	-0.101766425	0.004597017	0.000179152	0.526421453	-0.655027659	-0.474446515	-0.457828289	-0.625560991	-0.113400072	0.091552678	0.301167844	-0.351800834	-0.068752657	-0.420276031	0.136719901	-0.275901129
OG-1000	Tbi_TRINITY_DN23248_c0_g1_i1;Tte_TRINITY_DN838_c0_g1_i1;Tce_TRINITY_DN83895_c0_g1_i2;Tms_TRINITY_DN9795_c0_g1_i1;Tcm_TRINITY_DN74825_c0_g1_i1;Tsi_TRINITY_DN7463_c0_g1_i1;Tpa_TRINITY_DN123348_c0_g1_i1;Tge_TRINITY_DN23696_c0_g1_i1;Tps_TRINITY_DN32539_c0_g1_i2;Tdi_TRINITY_DN17778_c0_g2_i1	1.30E-48	AAM29449.1	GO:0007067;GO:0007424;GO:0007584;GO:0008407;GO:0010259;GO:0010906;GO:0019216;GO:0035317;GO:0040007;GO:0042023;GO:0045475;GO:0045823;GO:0045893	"mitotic nuclear division;open tracheal system development;response to nutrient;chaeta morphogenesis;multicellular organism aging;regulation of glucose metabolic process;regulation of lipid metabolic process;imaginal disc-derived wing hair organization;growth;DNA endoreduplication;locomotor rhythm;positive regulation of heart contraction;positive regulation of transcription, DNA-templated"	RE29005p;vrille;FI01009p;GH23983p;CG7786;PAR-domain protein 1;PAR domain protein 1-alpha;GM02880p;AF172404_1PAR domain protein 1-gamma;PAR domain protein 1-gamma;PAR-domain protein 1 zeta;PAR domain protein 1-beta;GH27708p;PAR domain protein 1-epislon;Par domain protein 1-ph	Pdp1;vri;CG7786	0	0	1	1	1	1	0.892492299	0.392803657	0.389131118	-0.096918015	0.101675161	0.114829271	-0.871781724	0.063059994	0.099559976	0.117168677	-0.270045219	-0.444805356	-1.437194489	-0.187783593	0.007017622	0.717758768	0.399383341	0.424683693	0.61221391	0.389694198	0.084993905
OG-1001	Tbi_TRINITY_DN50274_c0_g1_i2;Tte_TRINITY_DN23660_c0_g1_i2;Tce_TRINITY_DN98074_c0_g1_i2;Tms_TRINITY_DN29943_c0_g1_i3;Tcm_TRINITY_DN98627_c0_g1_i5;Tsi_TRINITY_DN23952_c0_g1_i5;Tpa_TRINITY_DN135911_c0_g1_i2;Tge_TRINITY_DN41217_c0_g1_i5;Tps_TRINITY_DN89173_c0_g1_i2;Tdi_TRINITY_DN23630_c0_g1_i4	5.50E-71	AAA28407.1	GO:0000226;GO:0001964;GO:0006816;GO:0006909;GO:0006967;GO:0006974;GO:0007605;GO:0007614;GO:0007638;GO:0008063;GO:0009950;GO:0010996;GO:0019233;GO:0030097;GO:0040011;GO:0042994;GO:0045087;GO:0045887;GO:0046843;GO:0048675;GO:0050976;GO:0070050;GO:0071260;GO:1900074	microtubule cytoskeleton organization;startle response;calcium ion transport;phagocytosis;positive regulation of antifungal peptide biosynthetic process;cellular response to DNA damage stimulus;sensory perception of sound;short-term memory;mechanosensory behavior;Toll signaling pathway;dorsal/ventral axis specification;response to auditory stimulus;sensory perception of pain;hemopoiesis;locomotion;cytoplasmic sequestering of transcription factor;innate immune response;positive regulation of synaptic growth at neuromuscular junction;dorsal appendage formation;axon extension;detection of mechanical stimulus involved in sensory perception of touch;neuron cellular homeostasis;cellular response to mechanical stimulus;negative regulation of neuromuscular synaptic transmission	cactus zygotic protein;cactus;NF-kappa-B inhibitor cactus;cactus maternal/zygotic protein;LD10168p;no mechanoreceptor potential C;ankyrin 2;AF190635_1ankyrin 2;FI18613p1	nompC;Ank2;cact	0	0	0	1	1	1	0.96878306	0.253919207	0.369712781	-0.334046833	0.482537069	-0.086069052	-0.351618637	0.809723228	0.121840465	-0.204602571	0.335992659	0.5915643	-0.014882238	-0.44131819	0.394392035	0.385708892	0.025930193	-0.443100549	-0.174665964	-0.084101189	0.113698289
OG-1002	Tbi_TRINITY_DN56138_c0_g1_i1;Tte_TRINITY_DN38564_c0_g1_i1;Tce_TRINITY_DN73166_c0_g1_i1;Tms_TRINITY_DN39927_c0_g1_i1;Tcm_TRINITY_DN57556_c0_g1_i1;Tsi_TRINITY_DN52635_c0_g1_i1;Tpa_TRINITY_DN115457_c0_g1_i1;Tge_TRINITY_DN18799_c0_g1_i1;Tps_TRINITY_DN42760_c0_g1_i1;Tdi_TRINITY_DN45099_c0_g1_i1	0.00E+00	NP_477375.1;AHN56120.1;P08736.2;ACU43535.1;AAF58608.1;NP_001286321.1;AAR30199.1;NP_725085.1;AAM68698.1;AHN56119.1;NP_001286322.1	GO:0000278;GO:0006415;GO:0006451;GO:0007030;GO:0008283;GO:0008340;GO:0022008;GO:0045089;GO:0050829	mitotic cell cycle;translational termination;translational readthrough;Golgi organization;cell proliferation;determination of adult lifespan;neurogenesis;positive regulation of innate immune response;defense response to Gram-negative bacterium	"elongation factor 1alpha48D;Elongation factor 1-alpha 1 Short=EF-1-alpha-1 50 kDa female-specific protein;LP10071p;RH01053p;elongation factor 1alpha100E;Elongation factor 1-alpha 2 Short=EF-1-alpha-2;RE68984p;F1 protein;1110268Agene F1;SD08285p;Ef1alpha-like factor;RE07731p;HBS1;FI04779p;elongation factor Tu mitochondrial;CG12736;GH10272p;AT01345p;EfSec;RE67487p;Dgp-1;FI18016p1;Elongation factor G, mitochondrial Short=EF-Gmt Elongation factor G 1, mitochondrial Short=mEF-G 1 Elongation factor G1 Short=dEF-G1 Protein iconoclast;conoclast"	Ef1alpha48D;Elf;Ef1alpha100E;EfTuM;Dgp-1;EfSec;HBS1;CG12736;ico	0	0	0	1	1	1	0.910501973	0.480172477	-0.499791368	-0.02961919	0.156917791	0.045966226	0.142182024	0.370904651	0.783236075	0.248691252	0.278229973	0.089162843	0.175948988	-0.114468125	0.59539367	0.326210172	-0.200276994	0.356325322	0.255973049	-0.038781716	-0.005199076
OG-1003	Tbi_TRINITY_DN71152_c0_g1_i1;Tte_TRINITY_DN8916_c0_g1_i1;Tce_TRINITY_DN95664_c0_g1_i1;Tms_TRINITY_DN55363_c0_g1_i1;Tcm_TRINITY_DN93956_c0_g1_i1;Tsi_TRINITY_DN32215_c0_g1_i1;Tpa_TRINITY_DN141610_c1_g1_i1;Tge_TRINITY_DN45786_c0_g1_i1;Tps_TRINITY_DN95183_c0_g1_i1;Tdi_TRINITY_DN31807_c0_g1_i1	2.20E-40	AAV36899.1;NP_001015174.1;EAA46254.1	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	CG40191;RE22570p;LD12604p;MIP17132p	NA	0	0	0	1	1	1	0.443989955	0.307790644	0.417783533	-0.123276913	-0.142235393	0.380634168	0.236993747	0.983347058	0.152135843	-0.046349176	-0.104614346	0.174057173	0.369313064	-0.406594809	0.117403184	0.002907771	0.146861658	-0.061714927	-0.022756564	0.868170563	-0.042021639
OG-1004	Tbi_TRINITY_DN69839_c0_g1_i4;Tte_TRINITY_DN10484_c0_g1_i1;Tce_TRINITY_DN93748_c0_g1_i1;Tms_TRINITY_DN57190_c0_g1_i1;Tcm_TRINITY_DN98994_c0_g1_i1;Tsi_TRINITY_DN27183_c0_g1_i1;Tpa_TRINITY_DN136900_c0_g1_i2;Tge_TRINITY_DN29094_c0_g1_i1;Tps_TRINITY_DN84686_c0_g1_i1;Tdi_TRINITY_DN1490_c0_g1_i1	7.20E-126	AAL28411.2	GO:0006413;GO:0071456	translational initiation;cellular response to hypoxia	GM03482p;eIF2B-gamma;eIF2B-epsilon;LD41433p;eIF2B-epsilon protein	eIF2B-epsilon;eIF2B-gamma	0	1	0	1	1	1	0.91805422	0.885103951	0.070496015	-0.123625327	0.133512714	0.230291428	-0.119102557	0.010614742	0.379589614	-0.486672177	-0.773291019	-0.168493605	-0.828187037	-0.055223895	0.964109861	0.982319644	0.078245505	0.134351801	-0.106763514	0.044965905	-0.083573954
OG-1005	Tbi_TRINITY_DN53674_c0_g2_i1;Tte_TRINITY_DN23437_c0_g1_i3;Tce_TRINITY_DN83767_c0_g1_i1;Tms_TRINITY_DN2661_c0_g1_i1;Tcm_TRINITY_DN105849_c0_g3_i4;Tsi_TRINITY_DN30215_c0_g1_i2;Tpa_TRINITY_DN136706_c1_g1_i3;Tge_TRINITY_DN47569_c0_g3_i5;Tps_TRINITY_DN83832_c5_g1_i4;Tdi_TRINITY_DN27434_c1_g1_i1	6.00E-139	ACN22202.1;NP_524768.2;CAB58065.1;AAF45795.2	GO:0007562;GO:0010629;GO:0034968;GO:0042051	eclosion;negative regulation of gene expression;histone lysine methylation;compound eye photoreceptor development	"SET and MYND domain containing, class 3;EG:BACR7C10.4;MIP05435p;SET and MYND domain containing, class 4, member 3;SET and MYND domain containing, arthropod-specific, member 8;Protein msta;SET and MYND domain containing, arthropod-specific, member 3;RE12806p;SET and MYND domain containing, arthropod-specific, member 1;GH11294p;SET and MYND domain containing, class 4, member 2;RE32936p;SET and MYND domain containing, arthropod-specific, member 6;SET and MYND domain containing, class 5;RE75113p;SET and MYND domain containing, arthropod-specific, member 2;AT24727p;SET and MYND domain containing, arthropod-specific, member 5"	SmydA-8;Smyd4-2;SmydA-1;Smyd5;Smyd3;Smyd4-3;SmydA-5;SmydA-2;SmydA-6	0	0	0	1	1	1	0.766570796	0.820622185	-0.392744379	0.000308901	-0.239939958	0.019614481	0.099862971	0.346114271	0.251243791	0.111982243	0.591487257	0.075337072	0.724534889	-0.394068676	0.967389342	0.005210219	0.24119261	0.248961107	-0.287331182	-0.574691031	0.356071395
OG-1006	Tbi_TRINITY_DN59201_c0_g1_i2;Tte_TRINITY_DN26972_c0_g1_i4;Tce_TRINITY_DN94169_c0_g1_i1;Tms_TRINITY_DN18379_c0_g1_i4;Tcm_TRINITY_DN82205_c1_g1_i1;Tsi_TRINITY_DN20470_c0_g1_i2;Tpa_TRINITY_DN130899_c0_g3_i3;Tge_TRINITY_DN38380_c0_g1_i1;Tps_TRINITY_DN76261_c0_g1_i2;Tdi_TRINITY_DN16198_c0_g1_i4	8.10E-136	ABI31266.1;NP_001036619.1	GO:0000381;GO:0007446;GO:0008283;GO:0030431;GO:0035107;GO:0040040;GO:0045165	"regulation of alternative mRNA splicing, via spliceosome;imaginal disc growth;cell proliferation;sleep;appendage morphogenesis;thermosensory behavior;cell fate commitment"	mushroom-body expressed;LD32520p;nucleic acid binding protein;IP17311p;heterogeneous nuclear ribonucleoprotein K;RE05515p;LP16172p;pasilla	HnRNP-K;mub;ps	0	0	0	1	1	1	0.681977666	0.701412203	0.097695788	0.099747189	0.380342655	-0.119495756	0.015139438	0.791738989	0.938719515	-0.027707373	0.175117309	0.075561714	0.089431522	-0.085491403	0.917274767	0.008783867	0.555838073	-0.265175881	-0.495526821	0.276642622	-0.206984605
